class,Binomial,category_at_start,category_at_end,first_year,second_year,numeric_category_at_start,numeric_category_at_end,Delta_Status
BIRDS,Neophron percnopterus,LC,EN,2006,2007,0,3,-3
BIRDS,Sarcogyps calvus,LC,VU,2006,2007,0,2,-2
REPTILES,Gavialis gangeticus,EN,CR,2006,2007,3,4,-1
MAMMALS,Arctocephalus philippii,VU,NT,2007,2008,2,1,1
MAMMALS,Arctocephalus townsendi,VU,NT,2007,2008,2,1,1
MAMMALS,Balaena mysticetus,NT,LC,2007,2008,1,0,1
MAMMALS,Eubalaena australis,NT,LC,2007,2008,1,0,1
MAMMALS,Megaptera novaeangliae,VU,LC,2007,2008,2,0,2
MAMMALS,Eschrichtius robustus,NT,LC,2007,2008,1,0,1
MAMMALS,Panthera pardus,LC,NT,2007,2008,0,1,-1
MAMMALS,Arctocephalus galapagoensis,VU,EN,2007,2008,2,3,-1
MAMMALS,Neophoca cinerea,NT,EN,2007,2008,1,3,-2
MAMMALS,Zalophus wollebaeki,VU,EN,2007,2008,2,3,-1
REPTILES,Crocodylus rhombifer,EN,CR,2007,2008,3,4,-1
FISHES,Huso dauricus,EN,CR,2009,2010,3,4,-1
FISHES,Huso huso,EN,CR,2009,2010,3,4,-1
FISHES,Thunnus albacares,NT,NT,2010,2011,1,1,0
MAMMALS,Eumetopias jubatus,EN,NT,2011,2012,3,1,2
BIRDS,Gyps africanus,NT,EN,2011,2012,1,3,-2
BIRDS,Spizaetus ornatus,LC,NT,2011,2012,0,1,-1
BIRDS,Polemaetus bellicosus,NT,VU,2012,2013,1,2,-1
MAMMALS,Arctocephalus townsendi,NT,LC,2014,2015,1,0,1
MAMMALS,Phocarctos hookeri,VU,EN,2014,2015,2,3,-1
BIRDS,Aquila nipalensis,LC,EN,2014,2015,0,3,-3
BIRDS,Gyps africanus,EN,CR,2014,2015,3,4,-1
BIRDS,Gyps coprotheres,VU,EN,2014,2015,2,3,-1
BIRDS,Gyps rueppelli,EN,CR,2014,2015,3,4,-1
BIRDS,Necrosyrtes monachus,EN,CR,2014,2015,3,4,-1
BIRDS,Torgos tracheliotos,VU,EN,2014,2015,2,3,-1
BIRDS,Trigonoceps occipitalis,VU,CR,2014,2015,2,4,-2
AMPHIBIANS,Andrias davidianus,NT,CR,1980,2004,1,4,-3
BIRDS,Gymnogyps californianus,EW,CR,1988,1994,NA,4,NA
BIRDS,Gyps bengalensis,NT,CR,1994,2000,1,4,-3
BIRDS,Gyps indicus,NT,CR,1994,2000,1,4,-3
BIRDS,Gyps tenuirostris,NT,CR,1994,2000,1,4,-3
BIRDS,Haliaeetus albicilla,NT,LC,1994,2000,1,0,1
BIRDS,Milvus milvus,LC,NT,1994,2000,0,1,-1
BIRDS,Neophron percnopterus,LC,EN,2000,2004,0,3,-3
BIRDS,Sarcogyps calvus,NT,CR,2000,2004,1,4,-3
BIRDS,Torgos tracheliotos,NT,VU,1988,1994,1,2,-1
MAMMALS,Arctocephalus galapagoensis,VU,EN,1996,2008,2,3,-1
MAMMALS,Balaenoptera musculus,CR,EN,1996,2008,4,3,1
MAMMALS,Megaptera novaeangliae,VU,LC,1996,2008,2,0,2
MAMMALS,Neophoca cinerea,VU,EN,1996,2008,2,3,-1
MAMMALS,Panthera pardus,LC,NT,1996,2008,0,1,-1
MAMMALS,Phocarctos hookeri,NT,VU,1996,2008,1,2,-1
MAMMALS,Zalophus wollebaeki,VU,EN,1996,2008,2,3,-1
